group_index	status	reason	uuid	original_filename	filename	date	date_added	path	asset_scope	file_size_bytes	content_sha256	location	album_titles	folder_paths	keywords	favorite	hidden	description
11	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	A636FFA1-F0CB-4C72-B28F-C573C607F222	tmp_v4738285297258698482.mp4	A636FFA1-F0CB-4C72-B28F-C573C607F222.mp4	2019-10-23T13:13:20+08:00	2019-11-24T21:37:44.736078+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/A/A636FFA1-F0CB-4C72-B28F-C573C607F222.mp4	NORMAL_ORIGINALS	17906144	20ffb66163bc259b4bea720827f3edc2499712e42c740cb905c85a73e34004fd		Sex Fun Clips - 情色打掃 奶子露出來漂亮	HIDE	HIDE	False	False	
12	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	BF6F742E-5BFF-4408-8F20-E410787AE260	IMG_0079.JPG	BF6F742E-5BFF-4408-8F20-E410787AE260.jpeg	2019-09-22T14:10:56.383182+08:00	2019-09-22T14:10:56.385130+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/B/BF6F742E-5BFF-4408-8F20-E410787AE260.jpeg	NORMAL_ORIGINALS	167961	c546496a8095c93b1d5922357850befdd1a8e162399859cf146e92f562fd4e0e				HIDE | NSFW	False	False	
13	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DCF4AF03-B192-402A-BAE6-CDEC2D5BBFC7	IMG_0245.JPG	DCF4AF03-B192-402A-BAE6-CDEC2D5BBFC7.jpeg	2022-11-11T22:43:53.965508+08:00	2022-11-11T22:43:53.966928+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/D/DCF4AF03-B192-402A-BAE6-CDEC2D5BBFC7.jpeg	NORMAL_ORIGINALS	106373	16513ad8bb541e8ac629be4d05e9f986b26bc5085a3caae33d7be84574a5e204		2022年11月11日 周思慧 番外篇 今天突然想念她，上微信沒看到她的信息。覺得自己該放下了。但是忍不住又問她最近過得怎麼樣。然後我正在寫這段話的時候她好像回應了！ 唉！結果從10:46聊到11:08，22分鐘！我見好就收！			False	False	
14	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DCCDD6A4-5A25-43A8-B140-BDFFE1C1B9F5	RPReplay_Final1602716023.mp4	DCCDD6A4-5A25-43A8-B140-BDFFE1C1B9F5.mp4	2020-10-15T06:53:43+08:00	2020-10-15T06:54:42.757358+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/D/DCCDD6A4-5A25-43A8-B140-BDFFE1C1B9F5.mp4	NORMAL_ORIGINALS	2247805300	03d93831b9ec2ffd971ffeb2e56fc43f7b14ed874fd82cd895daad56530a3eb4		Chaturbate		HIDE | NSFW	False	False	
15	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	A8C53182-8A95-4210-9D15-F4AF57C8E028	tmp_v4738122593335909120.mp4	A8C53182-8A95-4210-9D15-F4AF57C8E028.mp4	2019-04-14T09:54:04.082973+08:00	2019-04-14T09:54:23.832120+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/A/A8C53182-8A95-4210-9D15-F4AF57C8E028.mp4	NORMAL_ORIGINALS	34109764	15ea4ee1eff78a5c02bdcccd0bde9944e0b9bececf258ffa4bc7528ecc2bb1f9					False	False	
16	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	92253988-3661-4E06-BEA1-BE1AA9430067	IMG_9550.JPG	92253988-3661-4E06-BEA1-BE1AA9430067.jpeg	2025-05-31T14:36:03.136722+08:00	2025-05-31T14:36:03.144587+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/9/92253988-3661-4E06-BEA1-BE1AA9430067.jpeg	NORMAL_ORIGINALS	120255	62fae1feefd8643be90d84a8ca48311d3c4e0ba2e723b5be01ca3f403c31fa22					False	False	
17	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	59044129-5534-4969-9D33-7632E619E3FB	IMG_0392.PNG	59044129-5534-4969-9D33-7632E619E3FB.png	2019-03-07T00:40:11+08:00	2019-03-07T00:40:11.743988+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/5/59044129-5534-4969-9D33-7632E619E3FB.png	NORMAL_ORIGINALS	3671922	7035d90206261f20a9abc393d88352de414a23dee8f7ac8a2640f97e12cc7bdf		妖狐 girls	HIDE	HIDE	False	False	
18	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	5B3262D3-324E-488B-8DC6-F7DD54EB2F7B	ScreenRecording_10-13-2020 19-04-56_1.MP4	5B3262D3-324E-488B-8DC6-F7DD54EB2F7B.mp4	2020-10-13T19:04:57+08:00	2020-10-14T09:26:43.421278+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/5/5B3262D3-324E-488B-8DC6-F7DD54EB2F7B.mp4	NORMAL_ORIGINALS	24142549378	9ac191d433f0e13d5f894dce2f03d4210555c6ce120cea9570a9a889923f5d0b		Chaturbate		HIDE | NSFW	False	False	
19	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	0B0688FA-A4F0-42F1-AEFC-B64DD5E8C5BB	IMG_4979.MOV	0B0688FA-A4F0-42F1-AEFC-B64DD5E8C5BB.mov	2022-06-30T10:36:56+08:00	2022-06-30T10:43:24.404582+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/0/0B0688FA-A4F0-42F1-AEFC-B64DD5E8C5BB.mov	NORMAL_ORIGINALS	3979998295	d5ac585e4fd25cf566a6380f00eb6a00adebb3ca97c14f0b7ab865ecd0bc8e31		2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了			False	False	
20	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	34DA432D-CC8B-4FD2-904A-F79627580A90	PDF document.jpeg	34DA432D-CC8B-4FD2-904A-F79627580A90.jpeg	2025-05-23T13:17:57.524092+08:00	2025-05-23T13:17:57.924947+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/3/34DA432D-CC8B-4FD2-904A-F79627580A90.jpeg	NORMAL_ORIGINALS	3332532	de36874326a24427fd183181b0ca4a63aafb3f67f8f0cdd3faa75440ff9bb224		#IBKR #開戶  2025年5月23日 中午申請下午就成功了！ 產生從台灣銀行匯款到IBKR的匯款資料 | #台股 #台幣升值 #換匯 #IBKR開戶成功 #看盤 #順藥漲停板 #元大台灣50反1 #大盤開高走低尾盤拉回 #小跌18.72 #IBKR開戶  2025年5月23日 一開盤就看到順藥漲停板！真刺眼！ 然後看到股市爆料同學會的駐哥Po文才知道可以買個台灣50反1。不過開盤開低走高這一段沒有操作！現在又跌下來了！台積電今天上下波動也蠻大的至少到現在10點半左右！11點開始花了兩個多小時開IBKR帳戶！拖了一年！今天美元指數一直往下跑，台幣繼續升值... 我太早買了！還好只是測試？！用$30.06的匯率換了台幣10萬元…下午2:12 從玉山銀行轉五萬元台幣到台灣銀行來測試一下換美金！沒有約定只能轉五萬元！下午3:23台幣又升值到最高$29.796！永豐銀行那邊換匯只有$30.049！想要看看台灣銀行怎麼樣？沒想到拖到時間已經3:38 ，如果早8分鐘就可以測試了！台灣3:30之後銀行就關門！但是表定價格是$30.05跟永豐差不多就不知道真正換的時候會不會又打折？星期一不知道是繼續大升級呢還是怎麼樣？！今天這樣總共換了20萬元！10萬元是在永豐銀行用$30.06換的！另外10萬元是在台灣銀行用$30.025換的！今天三大法人賣超36.45億元！外資賣超大約30億元！投信跟自營商幾乎抵銷！投信買了62自營商賣了68億元⋯空單口數又增加了！這張圖表給的這三個資訊我都不知道該怎麼解讀…下午4:30發現 IBKR 帳戶已經通過了而且叫我盡快匯款…但是臣妾辦不到啊！在台灣這個蠻荒之地，銀行3:30就關門結算！			True	False	
21	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	949A433A-9F07-444F-99C5-8B2D96EBF7CF	tmp_v4738292322033630852.mp4	949A433A-9F07-444F-99C5-8B2D96EBF7CF.mp4	2019-11-27T23:23:10+08:00	2019-12-04T14:15:05.954161+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/9/949A433A-9F07-444F-99C5-8B2D96EBF7CF.mp4	NORMAL_ORIGINALS	61974263	cf6e2cdbc1970c3f302e472e8d3f72afd6706d2694473fee0a4f39edfdb2de3f		歐美自拍 超級幼女 小蘿莉耍性感露奶又露屄	HIDE	HIDE	False	False	
22	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	3CA56E64-3CF4-4447-A97C-7A68371CBAF6	IMG_0209.MOV	3CA56E64-3CF4-4447-A97C-7A68371CBAF6.mov	2021-04-16T18:24:12+08:00	2021-04-16T18:25:32.792531+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/3/3CA56E64-3CF4-4447-A97C-7A68371CBAF6.mov	NORMAL_ORIGINALS	884844309	a0b2cc278d4b1c8673d2c496192f11fd83489bd558a929d0fb4062180ffdf5b5		2021年4月16日上完瑜伽課，六點左右回到家發現整個家裡亂七八糟。媽媽居然說是爸爸要大掃除，但是中途因為要在妹妹不知道幹嗎，然後就把東西到處亂丟…完全沒有考慮別人（其實只有我跟小乖）所以他們三個人是一國就對了啦！只有他們才是人就對了！拍照攝影純正這整件荒謬但是卻又是日常（實在太悲哀）的事件！			False	False	
23	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	BBB4F040-CC4C-43A3-8BB7-78F474EEBFD0	tmp_v4738292321404693282.mp4	BBB4F040-CC4C-43A3-8BB7-78F474EEBFD0.mp4	2019-11-27T23:16:29+08:00	2019-12-04T14:14:39.100296+08:00	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/B/BBB4F040-CC4C-43A3-8BB7-78F474EEBFD0.mp4	NORMAL_ORIGINALS	62313726	9bc6ba92bfa036b93fd3dd5903bb02f2f869c94cc8fc00c635e0bb2e00161038		歐美自拍 超級幼女 小蘿莉耍性感露奶又露屄	HIDE	HIDE	False	False	
